115659787995119616,1850556607921924011,1850556607679701040,1526,1240,150,44000000,3,2,0,0,1,1,0,2,1,2,1
115659787995119617,1850556607921924011,1850556607679701042,1526,1486,150,52000000,3,2,0,0,2,2,0,2,1,4,1
115659787995119618,1850556607921924011,1850556607679701044,1526,1561,150,144000000,3,2,0,0,3,3,0,2,1,4,1
115659787995119619,1850556607921924011,1850556607679701046,1526,1686,150,62000000,3,2,0,0,4,4,0,2,1,2,1
115659787995119620,1850556607921924011,1850556607679701048,1526,1045,150,158000000,3,2,0,0,5,5,0,2,1,4,1
115659787995185152,1850556607922971111,1850556607679701048,1353,1045,150,32000000,3,2,0,0,6,6,0,2,2,5,2
115659787995185153,1850556607922971111,1850556607680750326,1353,1421,150,46000000,3,2,0,0,7,7,0,2,2,3,1
115659787995185154,1850556607922971111,1850556607680750328,1353,1274,150,182000000,3,2,0,0,8,8,0,2,2,2,1
115659787995185155,1850556607922971111,1850556607680750330,1353,1670,150,100000000,3,2,0,0,9,9,0,2,2,2,1
115659787995512832,1850556607928217743,1850556607679701039,1926,1777,150,86000000,1,2,0,0,1,10,0,2,2,3,1
115659787995512833,1850556607928217743,1850556607679701041,1926,1497,150,76000000,1,2,0,0,2,11,0,2,2,3,1
115659787995512834,1850556607928217743,1850556607679701043,1926,1278,150,64000000,1,2,0,0,3,12,0,2,2,2,1
115659787995512835,1850556607928217743,1850556607679701045,1926,1351,150,16000000,1,2,0,0,4,13,0,2,2,2,1
115659787995512836,1850556607928217743,1850556607679701047,1926,1199,150,172000000,1,2,0,0,5,14,0,2,2,3,1
115659787995512837,1850556607928217743,1850556607680750325,1926,1816,150,126000000,1,2,0,0,6,15,0,2,2,2,1
115659787995512838,1850556607928217743,1850556607680750327,1926,1207,150,196000000,1,2,0,0,7,16,0,2,2,3,1
115659787995512839,1850556607928217743,1850556607680750329,1926,1929,150,4000000,1,2,0,0,8,17,0,2,2,2,1
115659787995643904,1850556607930318847,1850556607680750329,1274,1929,150,64000000,1,2,0,0,9,18,0,3,2,3,2
115659787995643905,1850556607930318847,1850556607680750331,1274,1089,150,174000000,1,2,0,0,10,19,0,3,2,3,1
115659787995643906,1850556607930318847,1850556607680750333,1274,1768,150,134000000,1,2,0,0,11,20,0,3,2,2,1
115659787995643907,1850556607930318847,1850556607680750335,1274,1708,150,80000000,1,2,0,0,12,21,0,3,2,3,1
115659787995643908,1850556607930318847,1850556607680750337,1274,1788,150,38000000,1,2,0,0,13,22,0,3,2,4,1
115659787995906048,1850556607934507869,1850556607680750337,1518,1788,150,80000000,1,2,0,0,14,23,0,2,1,5,2
115659787995906049,1850556607934507869,1850556607681799969,1518,1188,150,20000000,1,2,0,0,15,24,0,2,1,3,1
115659787995906050,1850556607934507875,1850556607680750330,1527,1670,150,36000000,3,2,0,0,10,25,0,2,1,3,2
